Filename, BenignWare, Malware
0000dc2f3c8bde2d3b61cd1ba3aa5e839c0a7bf432d2e06a88a7ce3b199453e7, 1.0,0.0
1100a1693fbe43b0ff29c1d5a36011421752e162171683a7053cc1a342cdb11a, 0.0,1.0
1100f12c32392a843ecfa018d2db0755cdc503fcf7c8a90bc47b3a4286a800dd, 0.0,1.0
